label;genre
Onie Wheeler;['rockabilly', 'traditional rockabilly']
Jan Zdeněk Bartoš;[]
Giangiacomo Guelfi;[]
Heinrich Bach;['baroque', 'german baroque']
Erkki Junkkarinen;[]
Solomon Khromchenko;[]
Maureen Lehane;[]
John Powell;['british soundtrack', 'scorecore', 'soundtrack']
Richard Holm;['instrumental soul', 'jazz funk', 'jazz organ', 'soul jazz']
Willie Neal Johnson & The Gospel Keynotes;[]
Arthur Fiedler;['adult standards', 'easy listening']
Lillian Briggs;[]
Lothar Brühne;[]
Francesco Uttini;['galante era']
George Henry Powell;[]
Charles King;['folk-pop', 'shimmer pop']
Brad Delp;[]
Jeremias Nguenha;['musica mocambicana']
Queenie Leighton;[]
Cyril Stapleton;[]
Freddie Kohlman;[]
Nancy Andrews;[]
Florizel von Reuter;[]
Freddy Breck;['classic schlager', 'nederpop', 'volksmusik']
Luis Laguna;[]
John Prindle Scott;[]
Paul Makanowitzky;[]
Ludvig Norman;['swedish classical']
Marta Mirska;[]
Elfie Mayerhofer;[]
Louis Keppard;[]
Larry Markes;[]
Maurice Rocco;[]
Don Grolnick;['jazz piano']
Julio Cueva;[]
Fred Braceful;[]
Sam Woodyard;['jazz drums']
Jean Carignan;['folklore quebecois']
Walter Schumann;[]
Noah Greenberg;[]
Sergiu Luca;[]
Frances Ingram;[]
Lou Perez;['latin jazz', 'salsa international']
Cordell Reagon;[]
George Probert;[]
Mihaela Runceanu;[]
Alex Konadu;['highlife']
Enrique Espín Yépez;[]
Sieglinde Wagner;['classical contralto']
Scipione Dentice;['italian renaissance']
Geeta Dutt;['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'sufi']
Kurt Foss;[]
Esmeray;['classic turkish pop', 'turkish psych']
Ray Evans;[]
Mario Paci;[]
Rex Everhart;[]
Pepe Sánchez;[]
Lew Dockstader;[]
Edward Fisher;['british classical piano']
Ella Fitzgerald;['adult standards', 'jazz blues', 'swing', 'vocal jazz']
Peter Schidlof;[]
Dalida;['chanson', 'french pop']
Rosy McHargue;[]
Giuseppe Nessi;['italian tenor']
Klaas Bolt;[]
Christian Falk;['swedish electropop', 'swedish soul']
Dan Armstrong;[]
Theodor W. Adorno;[]
Michael Head;['chamber psych']
Louis Moreau Gottschalk;['american romanticism']
Arvell Shaw;[]
Franz Xaver Witt;[]
Florencio Constantino;['vintage classical singing']
Packie Duignan;[]
Robert Calvert;[]
Alfred Nieman;[]
Maxim Mikhailov;[]
