label;genre
Andrew Louper;['Instrumental', 'Production music', 'Music library']
Andrew Marston;['Progressive house', 'Electronic dance music']
Andrew Martin (musician);['Pop music', 'Synthpop', 'Electronic music', 'Electronic dance music']
Andrew McMahon;['Indie rock', 'Alternative rock', 'Pop punk']
Andrew McMaster (songwriter);['Rhythm and blues', 'Pub rock (United Kingdom)', 'Power pop', 'Pop rock']
Andrew Mikhail;['Metalcore', 'Symphonic metal', 'Deathcore']
Andrew Montgomery;['Alternative rock', 'Electronic music']
Andrew Moore (musician);['Ambient music', 'Electronica', 'Electronic music', 'Sampling (music)']
Andrew Odom;['Chicago blues', 'Electric blues', 'Soul blues']
Andrew Osenga;['Folk music', 'Alternative rock', 'Singer-songwriter']
Andrew Pendlebury;['Country music', 'Rhythm and blues', 'Southern gospel', 'Post-punk']
Andrew Peterson (musician);['Blues', 'Country music', 'Folk music', 'Rock music', 'Bluegrass music', 'Christian rock', 'Contemporary Christian music', 'Folk rock', 'Roots rock', 'Christian country music']
Andrew Pope (singer);Country music
Andrew Rayel;Trance music
Andrew Ridgeley;['Pop music', 'Rock music']
Andrew Ripp;['Pop rock', 'Acoustic music']
Andrew Roachford;['Pop rock', 'Contemporary R&B']
Andrew Rodriguez (singer-songwriter);Rock music
Andrew Scheps;['Pop music', 'Rock music', 'Classical music']
Andrew Schwab;['Nu metal', 'Christian metal', 'Metalcore']
Andrew Scott (Canadian musician);['Folk rock', 'Alternative country', 'Indie folk']
Andrew Scott (drummer);Indie rock
Andrew Sega;['Ambient music', 'Intelligent dance music', 'Electronica', 'Electropop', 'Electronic rock', 'Alternative dance']
Andrew Skeet;['Baroque pop', 'Electronic music', 'Film score', 'Video game music']
Andrew Spence;['Rock music', 'Progressive rock']
Andrew Stockdale;['Heavy metal music', 'Hard rock', 'Neo-psychedelia', 'Stoner rock']
Andrew Stricko;['Rock music', 'Alternative rock', 'Pop punk', 'Pop rock', 'Dance-rock']
Andrew Strong;['Blues', 'Soul music', 'Pop rock']
Andrew Thomas (composer);Classical music
Andrew Tibbs;Electric blues
Andrew Tierney;['Boy band', 'Pop music', 'Adult contemporary music']
Andrew Tolman;['Art rock', 'Alternative rock']
Andrew Tompkins;['Doom metal', 'Christian metal']
Andrew Tosh;Reggae
Andrew Tuason;['Jazz fusion', 'Pop rock', 'Mandopop', 'Contemporary R&B', 'Cantopop', 'Operatic pop']
Andrew VanWyngarden;['Psychedelic rock', 'Progressive rock', 'Synthpop', 'Indie pop', 'Neo-psychedelia']
Andrew Vowles;['Trip hop', 'Electronica']
Andrew W.K.;['Punk rock', 'Hard rock', 'Alternative rock', 'Pop punk', 'Alternative metal', 'Experimental music', 'Party-metal']
Andrew Wade;['Alternative rock', 'Pop punk', 'Metalcore', 'Post-hardcore']
Andrew Watt (musician);['Alternative rock', 'Psychedelic music']
Andrew Weatherall;['House music', 'Electronica', 'Dub music', 'Balearic beat', 'Techno', 'Post-punk']
Andrew White (musician);Alternative rock
Andrew White (saxophonist);['Hard bop', 'Jazz', 'Avant-garde music']
Andrew Winton;['Blues', 'Folk music', 'Bluegrass music', 'Gospel music', 'Alternative rock']
Andrew Wood (singer);['Glam rock', 'Grunge', 'Alternative rock']
Andrew Wyatt;['Electronica', 'Alternative rock', 'Indie pop']
Andrew de Torres;['Folk music', 'Pop music', 'Country pop', 'Acoustic music']
Andrey Kiritchenko;['Techno', 'Electronic music', 'Psychedelic music', 'Experimental music']
Andreya Triana;['Soul music', 'Jazz', 'Acoustic music']
Andria Busic;['Heavy metal music', 'Progressive rock', 'Hard rock']
Andriana Babali;['Pop music', 'Indie pop']
Andriani Marshanda;['Pop music', 'Contemporary R&B']
Andrijana Janevska;['Pop music', 'Music of the Republic of Macedonia']
Andrius Mamontovas;['Rock music', 'Alternative rock', 'Pop rock']
Andrius Pojavis;Pop music
Andriy Kuzmenko;['New wave music', 'Rock music', 'Synthpop', 'Rave music', 'Dark wave', 'Pop rock', 'Techno', 'Post-punk', 'New Romanticism']
Andru Bemis;['Folk music', 'Singer-songwriter']
Andru Branch;['Reggae', 'World music']
Andru Donalds;['Reggae', 'Soul music', 'Pop rock', 'Reggae fusion', 'Enigmatic_music']
Andrzej Dobber;Opera
Andrzej Kozakiewicz;Alternative rock
Andrzej Lampert;['Soft rock', 'Opera', 'Classical music']
Andrzej Przybielski;Jazz
Andrzej Zaucha (singer);['Pop music', 'Jazz']
András Kállay-Saunders;['Pop music', 'Soul music', 'Contemporary R&B']
András Petruska;['Blues', 'Pop music', 'Contemporary R&B']
André 3000;Hip hop music
André Almuró;['Electronic music', 'Musique concrète', 'Electroacoustic music', 'Classical music', 'Acousmatic music']
André Andersen;['Hard rock', 'Instrumental rock', 'Power metal', 'Neoclassical metal']
André Ceccarelli;['Rock music', 'Jazz']
André Cymone;['Funk', 'New wave music', 'Rhythm and blues', 'Urban contemporary']
André Duchesne (musician);['Contemporary classical music', 'Experimental music']
André Filho;Samba
André Fleury (organist);Classical music
André Geraissati;Jazz
André Hazes;Levenslied
André Jung;Rock music
André Linman;['Heavy metal music', 'Hard rock']
André Moraes;Soundtrack
André Olbrich;['Heavy metal music', 'Thrash metal', 'Power metal']
André Rieu;['Easy listening', 'Crossover music', 'Classical music', 'Waltz']
André Roligheten;Jazz
André Stordeur;['Electronic music', 'Electroacoustic music', 'Acousmatic music']
André Toussaint;Calypso music
André Valadão;['Contemporary Christian music', 'Contemporary worship music', 'Pop rock']
André Vida;Jazz
Andrée Watters;Pop-rock_and_Country-rock
Andrés Bucci;Electronica
Andrés Cabas;['Cumbia', 'Rock en español', 'Fandango']
Andrés Calamaro;['New wave music', 'Rock music', 'Tango music', 'Pop rock']
Andrés Cepeda;['Pop music', 'Rock music', 'Music of Latin America', 'Jazz']
Andrés Suárez;['Ballad', 'Jazz']
Andy Stoker Growcott;['New wave music', 'Pop music', 'Rock music', 'Soul music', 'Hip hop music', 'Celtic music']
Andy Abraham;Pop music
Andy Allo;['Funk', 'Rhythm and blues', 'Neo soul']
Andy Anderson (drummer);['Drum and bass', 'Funk', 'Punk rock', 'Pop music', 'Rock music', 'Rhythm and blues', 'Gothic rock', 'Alternative rock', 'Post-punk', 'Jazz']
Andy Babiuk;['Rock and roll', 'Garage rock']
Andy Bell (musician);['Britpop', 'Alternative rock', 'Shoegazing']
Andy Bell (singer);['Synthpop', 'Electronic music', 'Dance music']
Andy Bennett (musician);['Pop music', 'Brit_rock']
Andy Bey;Jazz
Andy Biersack;['Heavy metal music', 'Hard rock', 'Glam metal', 'Metalcore']
Andy Blueman;['Uplifting trance', 'Film score', 'Classical music']
Andy Bown;['Rock and roll', 'Hard rock']
Andy Bull;['Synthpop', 'Alternative rock', 'Indie pop', 'Alternative dance']
Andy Burrows;['Pop music', 'Acoustic music', 'Independent music']
Andy C;['Drum and bass', 'Dubstep']
Andy Cabic;Indie folk
Andy Cairns;['Alternative rock', 'Alternative metal']
Andy Caldwell;['House music', 'Electronica', 'Deep house', 'Progressive house', 'Electro house']
Andy Cato;Electronica
Andy Chapin;['Pop music', 'Rock and roll', 'Hard rock', 'Rockabilly']
Andy Cherry;Contemporary Christian music
Andy Childs;Country music
Andy Clark (musician);['New wave music', 'Glam rock', 'Progressive rock', 'Synthpop']
Andy Connell;['New wave music', 'Pop music', 'Rock music']
Andy Cox;['New wave music', 'Ska']
Andy Creeggan;['Rock music', 'Alternative rock', 'Folk rock', 'Acoustic music']
Andy DeMize;['Punk rock', 'Rockabilly', 'Psychobilly']
Andy Diagram;['Experimental rock', 'Jazz']
Andy Dickens;['Blues', 'Jazz']
Andy Dixon;['Punk rock', 'Intelligent dance music', 'Glitch (music)']
